"Pergunta","Resposta","Tags","Mnemônico","Dificuldade","Hint"
"A massa intermédia está presente em ___% dos indivíduos.","70-80%","anatomia-lateral,variacao","70-80% presente","M",""
"CASO: Na cirurgia, você não encontra a massa intermédia. Isso causa déficit neurológico?","NÃO - é apenas marco anatômico, não estrutura funcional","anatomia-lateral,clinico","Marco, não função","D","Lembre-se: Marco, não função"
"A estrutura mais SUPERIOR da parede anterior do 3V é a ___.","Colunas do fórnice","anatomia-anterior,limites","Colunas, Comissura Anterior, Lâmina Terminal","M",""
"Abaixo das colunas do fórnice na parede anterior está a ___.","Comissura anterior","anatomia-anterior,limites","","M",""
"A estrutura mais INFERIOR da parede anterior do 3V é a ___.","Lâmina terminal","anatomia-anterior,limites","","M",""
"O limite SUPERIOR da lâmina terminal é a borda inferior da ___.","Comissura anterior","anatomia-anterior,limites","Q-CA = limites da lâmina","M",""
"O limite INFERIOR da lâmina terminal é a borda superior do ___.","Quiasma óptico","anatomia-anterior,limites","Q-CA = limites da lâmina","M",""
"A estrutura mais SUPERIOR da parede posterior do 3V é o ___.","Recesso suprapineal","anatomia-posterior,limites","RSP, CH, Pineal, RP, CP, Aqueduto","M",""
"Abaixo do recesso suprapineal está a ___.","Comissura habenular","anatomia-posterior,limites","","M",""
"Abaixo da comissura habenular está a ___.","Glândula pineal","anatomia-posterior,limites","","M",""
"Abaixo da pineal está o ___.","Recesso pineal","anatomia-posterior,limites","","M",""
"Abaixo do recesso pineal está a ___.","Comissura posterior","anatomia-posterior,limites","","M",""
"A estrutura mais INFERIOR da parede posterior é a entrada do ___.","Aqueduto cerebral","anatomia-posterior,limites","","M",""
"A comissura posterior marca a junção ___.","Diencéfalo-mesencefálica","anatomia-posterior,limites","CP = limite D-M","M",""
"A veia cerebral interna forma-se pela junção de duas veias. A primeira é a ___.","Veia talamoestriada","vascular-veias,vci","T + C = VCI","M",""
"A veia cerebral interna forma-se pela junção de duas veias. A segunda é a ___.","Veia coroidal superior","vascular-veias,vci","T + C = VCI","M",""
"O local de formação da VCI é na margem ___ do forame de Monro.","Posterior","vascular-veias,vci","Ponto venoso = posterior ao FM","M",""
"A VCI cursa ___ no velum interpositum.","Posteriormente","vascular-veias,vci","","M",""
"A VCI cursa ao longo da ___ do tálamo.","Estria medular","vascular-veias,vci","Estria = guia da VCI","M",""
"No pulvinar, a VCI ___ da linha média.","Diverge","vascular-veias,vci","Diverge no pulvinar, converge sob esplênio","M",""
"Sob o esplênio, as VCIs ___ para formar a veia de Galeno.","Convergem","vascular-veias,vci","","M",""
"CASO: Lesão BILATERAL das VCIs durante cirurgia. Qual o prognóstico?","Geralmente FATAL - edema venoso hemorrágico profundo, coma","vascular-veias,clinico","Bilateral = fatal","D","Considere as consequências do comprometimento vascular"
"Lesão UNILATERAL da VCI pode causar ___ déficits principais.","3","vascular-veias,clinico,atomizado","Unilateral = possível mas arriscado","D","Pense na sequência completa"
"A veia basal de Rosenthal forma-se abaixo da ___.","Substância perfurada anterior","vascular-veias,basal","","M",""
"A veia basal é formada por três tributárias principais. Qual o mnemônico?","3 tributárias: veia cerebral média profunda, veias estriadas inferiores, veia cerebral anterior","vascular-veias,basal","3 tributárias formam basal","M",""
"A primeira tributária que forma a veia basal é a ___.","Veia cerebral média profunda","vascular-veias,basal","3 tributárias formam basal","M",""
"A segunda tributária que forma a veia basal são as ___.","Veias estriadas inferiores","vascular-veias,basal","3 tributárias formam basal","M",""
"A terceira tributária que forma a veia basal é a ___.","Veia cerebral anterior","vascular-veias,basal","3 tributárias formam basal","M",""
"O trajeto da veia basal contorna o mesencéfalo por três cisternas. Qual o mnemônico?","CAQ (Crural, Ambiente, Quadrigeminal)","vascular-veias,basal","CAQ = trajeto da basal","M",""
"A primeira cisterna no trajeto da veia basal ao redor do mesencéfalo é a ___.","Cisterna crural","vascular-veias,basal","CAQ = trajeto da basal","M",""
"A segunda cisterna no trajeto da veia basal ao redor do mesencéfalo é a ___.","Cisterna ambiente","vascular-veias,basal","CAQ = trajeto da basal","M",""
"A terceira cisterna no trajeto da veia basal ao redor do mesencéfalo é a ___.","Cisterna quadrigeminal","vascular-veias,basal","CAQ = trajeto da basal","M",""
"A veia basal une-se à ___ para formar a veia de Galeno.","VCI","vascular-veias,basal","Basal + VCI = Galeno","M",""
"A fissura coroidal é a fenda entre duas estruturas. A primeira é o ___.","Fórnice","cirurgico-abordagem,fissura","Fórnice-Tálamo = fissura","D","Pense nos marcos anatômicos desta abordagem"
"A fissura coroidal é a fenda entre duas estruturas. A segunda é o ___.","Tálamo","cirurgico-abordagem,fissura","Fórnice-Tálamo = fissura","D","Pense nos marcos anatômicos desta abordagem"
"O plexo coroide fixa-se ao longo da ___.","Fissura coroidal","cirurgico-abordagem,fissura","","D","Qual é o princípio desta abordagem?"
"A abordagem transchoroidal abre a fissura pelo lado ___.","Fornical (tenia fornicis)","cirurgico-abordagem,transchoroidal","Trans-CHOROIDAL = via fórnice","D","Via transchoroidal = pelo fórnice"
"Por que é mais seguro abrir pelo lado fornical?","O lado talâmico contém a talamoestriada e artérias coroidais","cirurgico-abordagem,transchoroidal","Tálamo = vasos","D","Via transchoroidal = pelo fórnice"
"A abordagem interforniceal incisa a ___ entre os dois fórnices.","Rafe mediana (comissura do fórnice)","cirurgico-abordagem,interforniceal","Rafe, não colunas","D","Lembre-se: Rafe, não colunas"
"VERDADEIRO ou FALSO: A abordagem interforniceal secciona as colunas do fórnice.","FALSO - incisa apenas a rafe mediana","cirurgico-abordagem,interforniceal","","D","Cuidado com a afirmação - verifique cada termo"
"CASO: Secção unilateral de uma coluna do fórnice. Qual o déficit esperado?","CONTROVERSO - alguns estudos mostram amnésia anterógrada, outros não","cirurgico-abordagem,clinico","Controverso = evitar","D","Qual estrutura está em risco nesta região?"
"A abordagem translaminar terminal abre a lâmina terminal entre duas estruturas. A primeira é o ___.","Quiasma óptico","cirurgico-abordagem,translaminar","Q-CA = abertura","D","Translaminar = através da lâmina terminal"
"A abordagem translaminar terminal abre a lâmina terminal entre duas estruturas. A segunda é a ___.","Comissura anterior","cirurgico-abordagem,translaminar","Q-CA = abertura","D","Translaminar = através da lâmina terminal"
"Na abordagem translaminar terminal, quantas estruturas principais devem ser preservadas?","4 estruturas: quiasma óptico, A. comunicante anterior, A. recorrente de Heubner, perfurantes hipotalâmicos","cirurgico-abordagem,translaminar","Q-ACoA-Heubner-perf","D","Lembre-se: Q-ACoA-Heubner-perf"
"A primeira estrutura a preservar na abordagem translaminar terminal é o ___.","Quiasma óptico","cirurgico-abordagem,translaminar","Q-ACoA-Heubner-perf","D","Lembre-se: Q-ACoA-Heubner-perf"
"A segunda estrutura a preservar na abordagem translaminar terminal é a ___.","Artéria comunicante anterior (ACoA)","cirurgico-abordagem,translaminar","Q-ACoA-Heubner-perf","D","Lembre-se: Q-ACoA-Heubner-perf"
"A terceira estrutura a preservar na abordagem translaminar terminal é a ___.","Artéria recorrente de Heubner","cirurgico-abordagem,translaminar","Q-ACoA-Heubner-perf","D","Lembre-se: Q-ACoA-Heubner-perf"
"A quarta estrutura a preservar na abordagem translaminar terminal são os ___.","Perfurantes hipotalâmicos","cirurgico-abordagem,translaminar","Q-ACoA-Heubner-perf","D","Lembre-se: Q-ACoA-Heubner-perf"
"A tríade do infarto da artéria coroidal anterior é conhecida como os ___.","3 Hs (Hemiplegia, Hemianestesia, Hemianopsia)","vascular-arterias,clinico","3 Hs","D","Lembre-se: 3 Hs"
"O primeiro H da tríade do infarto da AChA é ___.","Hemiplegia (lesão do braço posterior da cápsula interna)","vascular-arterias,clinico","3 Hs","D","Lembre-se: 3 Hs"
"O segundo H da tríade do infarto da AChA é ___.","Hemianestesia (lesão do tálamo ventrolateral)","vascular-arterias,clinico","3 Hs","D","Lembre-se: 3 Hs"
"O terceiro H da tríade do infarto da AChA é ___.","Hemianopsia homônima (lesão do trato óptico/corpo geniculado lateral)","vascular-arterias,clinico","3 Hs","D","Lembre-se: 3 Hs"
"A hemiplegia no infarto da AChA ocorre por lesão da ___.","Braço posterior da cápsula interna","vascular-arterias,clinico","","D","Lembre: 3 Hs - cápsula, tálamo, via óptica"
"A hemianestesia no infarto da AChA ocorre por lesão do ___.","Tálamo ventrolateral","vascular-arterias,clinico","","D","Lembre: 3 Hs - cápsula, tálamo, via óptica"
"A hemianopsia no infarto da AChA pode ocorrer por lesão do ___.","Trato óptico","vascular-arterias,clinico","","D","Lembre: 3 Hs - cápsula, tálamo, via óptica"
"Alternativamente, a hemianopsia no infarto da AChA pode ocorrer por lesão do ___.","Corpo geniculado lateral","vascular-arterias,clinico","","D","Lembre: 3 Hs - cápsula, tálamo, via óptica"
"No máximo ___ veias-ponte podem ser sacrificadas por região do SSS.","2-3","cirurgico-abordagem,veias","2-3 por região","D","Lembre-se: 2-3 por região"
"A veia de Trolard dominante ___ (pode/não pode) ser sacrificada.","NÃO pode","cirurgico-abordagem,veias","Trolard dominante = preservar","D","Qual é o princípio desta abordagem?"
"A extensão segura de secção do corpo caloso é até ___ cm.","2-3","cirurgico-abordagem,caloso","2-3 cm anterior","D","Lembre-se: 2-3 cm anterior"
"Lesão do ESPLÊNIO do corpo caloso causa ___.","Alexia sem agrafia","cirurgico-abordagem,clinico","Esplênio = leitura","D","Qual é o princípio desta abordagem?"
"Cistos coloides localizam-se no ___ do forame de Monro.","Teto","patologia,cisto-coloide","","D","Considere a fisiopatologia do processo"
"Cistos coloides podem causar morte súbita por ___.","Obstrução aguda do fluxo de LCR → hidrocefalia aguda → herniação","patologia,cisto-coloide","Obstrução intermitente = morte súbita","D","Considere a fisiopatologia do processo"
"O tamanho de cisto coloide que indica cirurgia é maior que ___ mm.","10","patologia,cisto-coloide","Maior 10 = operar","D","Considere a fisiopatologia do processo"
"Tumores pineais causam hidrocefalia por compressão do ___.","Aqueduto cerebral e/ou teto do 3V","patologia,pineal","","D","Considere a fisiopatologia do processo"
"O primeiro sinal da síndrome de Parinaud é ___.","Paralisia do olhar para cima","patologia,pineal","Parinaud = olhar para cima + pupilas","D","Considere a fisiopatologia do processo"
"O segundo sinal da síndrome de Parinaud é ___.","Pupilas que reagem à acomodação mas não à luz (dissociação luz-perto)","patologia,pineal","Parinaud = olhar para cima + pupilas","D","Considere a fisiopatologia do processo"
"A síndrome de Parinaud está associada a lesões ___.","Pineais/tectais","patologia,pineal","","D","Considere a fisiopatologia do processo"
"O quiasma PRÉ-FIXADO localiza-se acima do ___.","Tubérculo selar","anatomia-quiasma,variacao","Pré = 10%","M",""
"O quiasma PRÉ-FIXADO está presente em ___% dos casos.","10%","anatomia-quiasma,variacao","Pré = 10%","M",""
"O quiasma NORMAL localiza-se sobre o ___.","Diafragma selar","anatomia-quiasma,variacao","Normal = 80%","M",""
"O quiasma NORMAL está presente em ___% dos casos.","80%","anatomia-quiasma,variacao","Normal = 80%","M",""
"O quiasma PÓS-FIXADO localiza-se sobre o ___.","Dorso selar","anatomia-quiasma,variacao","Pós = 10%","M",""
"O quiasma PÓS-FIXADO está presente em ___% dos casos.","10%","anatomia-quiasma,variacao","Pós = 10%","M",""
"Quiasma ___ (pré/pós) fixado LIMITA a abordagem transesfenoidal estendida.","Pré-fixado","anatomia-quiasma,cirurgico","Pré = bloqueia","M",""
"Quiasma ___ (pré/pós) fixado FACILITA a abordagem transesfenoidal estendida.","Pós-fixado","anatomia-quiasma,cirurgico","Pós = facilita","M",""
"V.C.I. = ___","Veia Cerebral Interna","abreviacoes,veias","","E",""
"Thal.Str. = ___","Thalamostriate (talamoestriada)","abreviacoes,veias","","E",""
"P.C.A. = ___","Posterior Cerebral Artery","abreviacoes,arterias","","E",""
"A.Ch.A. = ___","Anterior Choroidal Artery","abreviacoes,arterias","","E",""
"M.P.Ch.A. = ___","Medial Posterior Choroidal Artery","abreviacoes,arterias","","E",""
"L.P.Ch.A. = ___","Lateral Posterior Choroidal Artery","abreviacoes,arterias","","E",""
"For. Mon. = ___","Foramen of Monro","abreviacoes,estruturas","","E",""
"V.I. / V. Int. = ___","Velum Interpositum","abreviacoes,estruturas","","E",""
"Lam. Term. = ___","Lamina Terminalis","abreviacoes,estruturas","","E",""
"Mass. Int. = ___","Massa Intermedia","abreviacoes,estruturas","","E",""
"Sep. Pell. = ___","Septum Pellucidum","abreviacoes,estruturas","","E",""
"Str. Med. Thal. = ___","Stria Medullaris Thalami","abreviacoes,estruturas","","E",""
"Corp. Call. = ___","Corpus Callosum","abreviacoes,estruturas","","E",""
"Ant. Sept. V. = ___","Anterior Septal Vein","abreviacoes,veias","","E",""
"Post. Caud. V. = ___","Posterior Caudate Vein","abreviacoes,veias","","E",""
"Sup. Chor. V. = ___","Superior Choroidal Vein","abreviacoes,veias","","E",""
"Inf. Vent. V. = ___","Inferior Ventricular Vein","abreviacoes,veias","","E",""
"Trans. Hippo. V. = ___","Transverse Hippocampal Vein","abreviacoes,veias","","E",""
"A.Co.A. = ___","Anterior Communicating Artery","abreviacoes,arterias","","E",""
"P.Co.A. = ___","Posterior Communicating Artery","abreviacoes,arterias","","E",""
"A tenia fornicis fixa a margem ___ do fórnice ao plexo coroide.","Lateral","cirurgico-abordagem,fissura","","D","Qual é o princípio desta abordagem?"
"A tenia thalami é a margem de fixação do plexo coroide ao ___.","Tálamo","cirurgico-abordagem,fissura","Tenia thalami = lado talâmico","D","Qual é o princípio desta abordagem?"
"A tela coroídea é a ___.","Membrana dupla (entre fórnice e tálamo)","anatomia-teto,definicoes","Tela = membrana; Plexo = vascular","M",""
"O plexo coroide é a estrutura ___ que produz LCR.","Vascular (ependimária modificada)","anatomia-teto,definicoes","Tela = membrana; Plexo = vascular","M",""
"O grupo MEDIAL das veias ventriculares tem ___ veias principais.","4","vascular-veias,grupos,atomizado","Medial = septal/hipocampal","E",""
"O grupo LATERAL das veias ventriculares tem ___ veias principais.","5","vascular-veias,grupos,atomizado","Lateral = caudada/estriada","E",""
"A veia ventricular inferior drena para a veia ___.","Basal","vascular-veias,drenagem","","M",""
"A veia atrial lateral cruza a superfície ___ do pulvinar.","Posterior","vascular-veias,drenagem","","M",""
"A veia de Galeno recebe ___ tributárias principais.","4","vascular-veias,galeno,atomizado","4 tributárias para Galeno","E",""
"Na cisterna quadrigeminal, o nervo troclear passa ABAIXO da artéria ___.","Cerebelar superior","anatomia-cisternas,nervos","ACS-IV-PCA de baixo para cima","M",""
"Na cisterna quadrigeminal, o nervo troclear passa ACIMA da artéria ___.","Cerebral posterior","anatomia-cisternas,nervos","ACS-IV-PCA de baixo para cima","M",""
"O ponto venoso no angiograma marca o ___.","Forame de Monro","vascular-veias,angiografia","Ponto venoso = FM","M",""
"O ponto venoso corresponde ao ângulo formado entre a veia ___ e a VCI.","Talamoestriada","vascular-veias,angiografia","Ponto venoso = FM","M",""
"As artérias talamoperfurantes originam-se do ___.","Topo da basilar (P1 e comunicante posterior)","vascular-arterias,talamo","","M",""
"As artérias talamogeniculadas suprem o ___.","Tálamo lateral (núcleos VPL e VPM)","vascular-arterias,talamo","Geniculadas = lateral","M",""
"A artéria de Heubner supre ___ estruturas principais.","3","vascular-arterias,heubner,atomizado","","E",""
"CASO: Infarto da A. de Heubner no hemisfério ESQUERDO. Qual déficit adicional?","Afasia (hemisfério dominante)","vascular-arterias,clinico","Esquerdo + Heubner = afasia","D","Considere as consequências do comprometimento vascular"
"O mnemônico para os núcleos hipotalâmicos de anterior para posterior é ___.","PSP-VDM (Pré-óptico, Supraóptico, Paraventricular, Ventromedial, Dorsomedial, Mamilar)","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O primeiro núcleo hipotalâmico (mais anterior) é o ___.","Núcleo pré-óptico","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O segundo núcleo hipotalâmico é o ___.","Núcleo supraóptico","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O terceiro núcleo hipotalâmico é o ___.","Núcleo paraventricular","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O quarto núcleo hipotalâmico é o ___.","Núcleo ventromedial","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O quinto núcleo hipotalâmico é o ___.","Núcleo dorsomedial","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O sexto núcleo hipotalâmico (mais posterior) é o ___.","Núcleo mamilar","anatomia-assoalho,hipotalamo","PSP-VDM","M",""
"O circuito de Papez (memória) conecta 4 estruturas em sequência. Qual o mnemônico?","H-M-T-C-H (Hipocampo → Mamilares → Tálamo anterior → Cingulo → Hipocampo)","anatomia-circuitos,memoria","H-M-T-C-H","M",""
"No circuito de Papez, o hipocampo projeta para os ___ via fórnice.","Corpos mamilares","anatomia-circuitos,memoria","H-M-T-C-H","M",""
"No circuito de Papez, os corpos mamilares projetam para o ___.","Tálamo anterior (via trato mamilotalâmico)","anatomia-circuitos,memoria","H-M-T-C-H","M",""
"No circuito de Papez, o tálamo anterior projeta para o ___.","Giro do cingulo","anatomia-circuitos,memoria","H-M-T-C-H","M",""
"A incisura tentorial tem três espaços. O primeiro (ANTERIOR) localiza-se ___.","À frente do tronco cerebral","anatomia-cisternas,tentorial","","M",""
"A incisura tentorial tem três espaços. O segundo (MÉDIO) localiza-se ___.","Lateralmente ao tronco cerebral","anatomia-cisternas,tentorial","","M",""
"A incisura tentorial tem três espaços. O terceiro (POSTERIOR) corresponde à cisterna ___.","Quadrigeminal","anatomia-cisternas,tentorial","","M",""
"Na herniação transtentorial, qual estrutura é empurrada através da incisura?","Uncus","patologia,herniacao","Uncus → III + mesencéfalo","D","Considere a fisiopatologia do processo"
"Na herniação transtentorial, o uncus comprime o ___.","Mesencéfalo","patologia,herniacao","Uncus → III + mesencéfalo","D","Considere a fisiopatologia do processo"
"Na herniação transtentorial, além do mesencéfalo, o uncus também comprime o nervo ___.","Oculomotor (III)","patologia,herniacao","Uncus → III + mesencéfalo","D","Considere a fisiopatologia do processo"
"A estria medular do tálamo origina-se na ___.","Comissura habenular","anatomia-lateral,estria","","M",""
"A estria medular do tálamo estende-se até a região ___ do tálamo.","Anterior","anatomia-lateral,estria","","M",""
"Lesão bilateral das perfurantes hipotalâmicas causa ___ déficits principais.","3","vascular-arterias,clinico,atomizado","Hipotálamo = consciência + temp + memória","D","Quais territórios esta artéria irriga?"
"O infundíbulo passa inferiormente ___ (à frente/atrás) do processo clinoide anterior.","Atrás","anatomia-assoalho,relacoes","","M",""
"Aneurismas do topo da basilar podem comprimir o ___ do 3V.","Assoalho","patologia,aneurisma","","D","Considere a fisiopatologia do processo"
"Aneurismas da ACoA frequentemente sangram para dentro do ___.","Terceiro ventrículo","patologia,aneurisma","ACoA → 3V","D","Lembre-se: ACoA → 3V"
"O mnemônico PTM representa as três divisões funcionais do hipotálamo: ___.","Pré-óptica (termorregulação), Tuberal (endócrina), Mamilar (memória)","anatomia-assoalho,hipotalamo","PTM = Temp-Endo-Mem","M",""
"A divisão PRÉ-ÓPTICA do hipotálamo é responsável pela ___.","Termorregulação","anatomia-assoalho,hipotalamo","PTM = Temp-Endo-Mem","M",""
"A divisão TUBERAL do hipotálamo é responsável pela função ___.","Endócrina","anatomia-assoalho,hipotalamo","PTM = Temp-Endo-Mem","M",""
"A divisão MAMILAR do hipotálamo é responsável pela ___.","Memória","anatomia-assoalho,hipotalamo","PTM = Temp-Endo-Mem","M",""
"ETV significa ___.","Ventriculostomia Endoscópica do Terceiro Ventrículo","cirurgico-endoscopia,etv","","D","Revise o conceito central deste tópico"
"Na ETV, o LCR flui do 3V para a cisterna ___.","Interpeduncular","cirurgico-endoscopia,etv","ETV → interpeduncular","D","Revise o conceito central deste tópico"
"A indicação principal de ETV é ___.","Hidrocefalia obstrutiva (estenose do aqueduto, tumores pineais)","cirurgico-endoscopia,etv","","D","Revise o conceito central deste tópico"
"O marco POSTERIOR para ETV são os ___.","Corpos mamilares","cirurgico-endoscopia,etv","Mamilar-Infundíbulo = janela ETV","D","Revise o conceito central deste tópico"
"O marco ANTERIOR para ETV é o ___.","Infundíbulo","cirurgico-endoscopia,etv","Mamilar-Infundíbulo = janela ETV","D","Revise o conceito central deste tópico"
"A abordagem supracerebelar infratentorial é usada para tumores ___.","Pineais/quadrigeminais","cirurgico-abordagem,supracerebelar","","D","Qual é o princípio desta abordagem?"
"A primeira opção de posição do paciente para abordagem supracerebelar é ___.","Sentado","cirurgico-abordagem,supracerebelar","","D","Qual é o princípio desta abordagem?"
"A segunda opção de posição do paciente para abordagem supracerebelar é ___.","Prona com cabeça fletida","cirurgico-abordagem,supracerebelar","","D","Qual é o princípio desta abordagem?"
"Na abordagem supracerebelar, encontram-se ___ grupos de veias.","3","cirurgico-abordagem,supracerebelar,atomizado","","D","Qual é o princípio desta abordagem?"
"A fissura cerebelomesencefálica é a fenda entre o ___ e o mesencéfalo.","Cerebelo","anatomia-cisternas,fissura","","M",""
"A drenagem do grupo sagital superior vai para o ___.","Seio sagital superior","vascular-veias,drenagem","SSS = convexidade","M",""
"A drenagem do grupo falcino vai para o ___.","Seio reto","vascular-veias,drenagem","Falcino = profundo","M",""
"A drenagem do grupo falcino chega ao seio reto via ___.","VCI/basal/Galeno","vascular-veias,drenagem","Falcino = profundo","M",""
"O grupo falcino corresponde aproximadamente ao ___.","Lobo límbico (cingulo, parahipocampal, uncus)","vascular-veias,drenagem","Falcino = límbico","M",""
"A veia calcarina anterior drena a profundidade do ___.","Sulco calcarino","vascular-veias,occipital","","M",""
"As artérias que entram pela parte SUPERIOR da cisterna quadrigeminal são as ___.","Cerebrais posteriores","anatomia-cisternas,vascular","","M",""
"As artérias que entram pela parte INFERIOR da cisterna quadrigeminal são as ___.","Cerebelares superiores","anatomia-cisternas,vascular","PCAs acima, SCAs abaixo","M",""
"O calcar avis é a proeminência na parede medial do átrio sobre o ___.","Sulco calcarino","anatomia-ventriculo-lateral,atrio","","M",""
"O bulbo do corpo caloso é a proeminência na parede medial do átrio sobre o ___.","Fórceps maior","anatomia-ventriculo-lateral,atrio","","M",""
"O átrio é a junção de três estruturas ventriculares. A primeira é o ___.","Corpo do ventrículo lateral","anatomia-ventriculo-lateral,atrio","","M",""
"O átrio é a junção de três estruturas ventriculares. A segunda é o ___.","Corno temporal","anatomia-ventriculo-lateral,atrio","","M",""
"O átrio é a junção de três estruturas ventriculares. A terceira é o ___.","Corno occipital","anatomia-ventriculo-lateral,atrio","","M",""
"O trígono colateral é a proeminência no assoalho do átrio sobre o ___.","Sulco colateral","anatomia-ventriculo-lateral,atrio","","M",""
